RMS Measurements in nT measured from power spectrum of frequency response 
Datasheet states an RMS of .4 mG or 40 nT
+----+------------------------------+------------------------------+------------------------------+
|    |           Sensor 1           |           Sensor 2           |           Sensor 3           |
|----+------------------------------+------------------------------+------------------------------|
|  1 | [161.366, 131.216, 233.180,] | [152.557, 148.303, 201.069,] | [162.797, 158.173, 181.660,] |
|  2 | [192.128, 180.097, 235.783,] | [184.629, 126.807, 186.932,] | [189.757, 143.865, 218.461,] |
|  3 | [240.936, 213.077, 172.306,] | [233.298, 139.112, 195.542,] | [234.491, 150.358, 230.294,] |
|  4 | [280.827, 173.721, 204.954,] | [276.611, 150.449, 211.741,] | [278.691, 205.020, 228.250,] |
|  5 | [329.555, 192.566, 208.365,] | [325.185, 199.241, 307.513,] | [329.021, 210.170, 244.814,] |
|  6 | [342.437, 221.781, 262.058,] | [351.202, 232.839, 246.671,] | [348.392, 242.975, 322.796,] |
|  7 | [164.223, 108.985, 149.971,] | [164.935, 92.324, 243.000,]  | [168.974, 148.324, 242.868,] |
|  8 | [195.368, 140.217, 174.301,] | [206.995, 194.097, 197.423,] | [215.016, 99.919, 209.374,]  |
|  9 | [241.479, 152.900, 236.672,] | [230.887, 160.882, 210.292,] | [231.715, 174.509, 247.445,] |
| 10 | [284.359, 127.568, 224.821,] | [267.531, 126.444, 150.521,] | [273.835, 109.843, 224.685,] |
| 11 | [315.692, 154.914, 267.988,] | [312.206, 124.675, 187.229,] | [316.696, 152.271, 226.455,] |
| 12 | [313.324, 216.733, 229.513,] | [328.367, 267.646, 296.419,] | [332.446, 214.894, 247.396,] |
| 13 | [160.937, 250.139, 195.836,] | [161.751, 238.187, 292.570,] | [172.270, 123.140, 192.646,] |
| 14 | [188.330, 125.428, 208.706,] | [184.472, 102.970, 224.042,] | [186.801, 82.473, 162.393,]  |
| 15 | [221.203, 176.632, 196.871,] | [212.088, 203.630, 215.064,] | [227.641, 224.310, 138.026,] |
| 16 | [258.133, 228.712, 189.108,] | [251.086, 150.953, 256.437,] | [257.715, 167.515, 253.722,] |
| 17 | [1275.304, 648.228, 24.890,] | [1327.397, 27.330, 27.332,]  |  [26.734, 26.960, 26.488,]   |
| 18 | [278.102, 237.077, 230.056,] | [283.823, 240.033, 259.387,] | [288.640, 312.353, 279.699,] |
| 19 | [152.351, 211.241, 195.040,] | [151.527, 151.586, 198.063,] | [156.062, 124.200, 227.258,] |
| 20 | [179.063, 117.164, 308.510,] | [167.372, 131.520, 215.085,] | [182.683, 120.620, 230.998,] |
| 21 | [205.629, 159.480, 227.905,] | [197.937, 143.102, 154.170,] | [206.613, 144.386, 227.953,] |
| 22 | [232.761, 203.634, 191.445,] | [226.472, 194.191, 151.405,] | [236.854, 160.842, 268.857,] |
| 23 | [256.061, 220.290, 189.121,] | [251.345, 245.142, 266.053,] | [259.652, 213.970, 231.566,] |
| 24 | [249.982, 289.314, 231.967,] | [253.891, 266.065, 267.926,] | [263.129, 265.032, 194.996,] |
+----+------------------------------+------------------------------+------------------------------+
